Id,Date,Holiday,Bank Holiday
1,1/2/12,New Year Day,TRUE
2,1/16/12,Martin Luther King Jr. Day,TRUE
3,2/20/12,Presidents Day (Washingtons Birthday),TRUE
4,5/28/12,Memorial Day,TRUE
5,7/4/12,Independence Day,TRUE
6,9/3/12,Labor Day,TRUE
7,10/8/12,Columbus Day,TRUE
8,11/12/12,Veterans Day,TRUE
9,11/22/12,Thanksgiving Day,TRUE
10,12/25/12,Christmas Day,TRUE
11,1/1/13,New Year Day,TRUE
12,1/21/13,Martin Luther King Jr. Day,TRUE
13,2/18/13,Presidents Day (Washingtons Birthday),TRUE
14,5/27/13,Memorial Day,TRUE
15,7/4/13,Independence Day,TRUE
16,9/2/13,Labor Day,TRUE
17,10/14/13,Columbus Day,TRUE
18,11/11/13,Veterans Day,TRUE
19,11/28/13,Thanksgiving Day,TRUE
20,12/25/13,Christmas Day,TRUE
21,1/1/14,New Year Day,TRUE
22,1/20/14,Martin Luther King Jr. Day,TRUE
23,2/17/14,Presidents Day (Washingtons Birthday),TRUE
24,5/26/14,Memorial Day,TRUE
25,7/4/14,Independence Day,TRUE
26,9/1/14,Labor Day,TRUE
27,10/13/14,Columbus Day,TRUE
28,11/11/14,Veterans Day,TRUE
29,11/27/14,Thanksgiving Day,TRUE
30,12/25/14,Christmas Day,TRUE
31,1/1/15,New Year Day,TRUE
32,1/19/15,Martin Luther King Jr. Day,TRUE
33,2/16/15,Presidents Day (Washingtons Birthday),TRUE
34,5/25/15,Memorial Day,TRUE
35,7/3/15,Independence Day,TRUE
36,9/7/15,Labor Day,TRUE
37,10/12/15,Columbus Day,TRUE
38,11/11/15,Veterans Day,TRUE
39,11/26/15,Thanksgiving Day,TRUE
40,12/25/15,Christmas Day,TRUE
41,1/1/16,New Year Day,TRUE
42,1/18/16,Martin Luther King Jr. Day,TRUE
43,2/15/16,Presidents Day (Washingtons Birthday),TRUE
44,5/30/16,Memorial Day,TRUE
45,7/4/16,Independence Day,TRUE
46,9/5/16,Labor Day,TRUE
47,10/10/16,Columbus Day,TRUE
48,11/11/16,Veterans Day,TRUE
49,11/24/16,Thanksgiving Day,TRUE
50,12/25/16,Christmas Day,TRUE
51,1/2/17,New Year Day,TRUE
52,1/16/17,Martin Luther King Jr. Day,TRUE
53,2/20/17,Presidents Day (Washingtons Birthday),TRUE
54,5/29/17,Memorial Day,TRUE
55,7/4/17,Independence Day,TRUE
56,9/4/17,Labor Day,TRUE
57,10/9/17,Columbus Day,TRUE
58,11/10/17,Veterans Day,TRUE
59,11/23/17,Thanksgiving Day,TRUE
60,12/25/17,Christmas Day,TRUE
61,1/1/18,New Year Day,TRUE
62,1/15/18,Martin Luther King Jr. Day,TRUE
63,2/19/18,Presidents Day (Washingtons Birthday),TRUE
64,5/28/18,Memorial Day,TRUE
65,7/4/18,Independence Day,TRUE
66,9/3/18,Labor Day,TRUE
67,10/8/18,Columbus Day,TRUE
68,11/12/18,Veterans Day,TRUE
69,11/22/18,Thanksgiving Day,TRUE
70,12/25/18,Christmas Day,TRUE
71,1/1/19,New Year Day,TRUE
72,1/21/19,Martin Luther King Jr. Day,TRUE
73,2/18/19,Presidents Day (Washingtons Birthday),TRUE
74,5/27/19,Memorial Day,TRUE
75,7/4/19,Independence Day,TRUE
76,9/2/19,Labor Day,TRUE
77,10/14/19,Columbus Day,TRUE
78,11/11/19,Veterans Day,TRUE
79,11/28/19,Thanksgiving Day,TRUE
80,12/25/19,Christmas Day,TRUE
81,1/1/20,New Year Day,TRUE
82,1/20/20,Martin Luther King Jr. Day,TRUE
83,2/17/20,Presidents Day (Washingtons Birthday),TRUE
84,5/25/20,Memorial Day,TRUE
85,7/3/20,Independence Day,TRUE
86,9/7/20,Labor Day,TRUE
87,10/12/20,Columbus Day,TRUE
88,11/11/20,Veterans Day,TRUE
89,11/26/20,Thanksgiving Day,TRUE
90,12/25/20,Christmas Day,TRUE
